Temperature,Humidity,Pressure,AirSpeed,RainToday,RainfallTomorrow
16.9,71,1007.7,44,0,0
17.2,44,1010.6,44,0,0
21,38,1007.6,46,0,0
18.1,45,1017.6,24,0,0
17.8,82,1010.8,41,0,0
20.6,55,1009.2,56,0,0
18.1,49,1009.6,50,0,0
16.3,48,1013.4,35,0,0
18.3,42,1008.9,80,0,1
20.1,58,1007,28,1,0
20.4,48,1011.8,30,0,1
15.9,89,1010.5,31,1,1
17.4,76,994.3,61,1,1
15.8,65,1001.2,44,1,0
17.3,50,1013.4,50,NA,0
17.2,69,1012.2,22,0,1
18,80,1005.8,63,1,1
15.5,47,1009.4,43,1,0
15.8,45,1019.2,26,0,0
19.1,56,1019.3,24,0,0
24.5,38,1013.6,43,0,0
23.8,54,1007.8,41,0,0
20.9,55,1011,33,0,0
21.5,49,1012.9,43,0,0
23.2,45,1010.9,35,0,0
26.6,41,1006.8,57,0,0
24.6,56,1005.2,48,0,0
21.6,49,1004.8,46,0,1
12.5,78,1005.6,50,1,0
16.9,48,1006.1,39,0,0
19.7,46,1004.5,56,0,0
14.9,44,1014.4,41,0,0
17.1,43,1018.7,26,0,0
20.7,41,1015.1,37,0,0
22.4,41,1012.6,41,0,0
23.1,33,1010.9,52,0,0
25.2,34,1007,57,0,0
17.9,43,1011.9,48,0,0
17.2,38,1017.8,37,0,0
20.2,36,1013.4,37,0,0
22.8,52,1009.9,31,0,0
24.2,48,1014.1,35,0,0
24.3,51,1015.7,35,0,0
25.6,40,1011.6,39,0,0
27.6,34,1008.4,44,0,0
18,46,1014.1,56,0,0
16,35,1019.7,33,0,0
20.9,34,1019.7,28,0,0
22,39,1015.8,39,0,0
26.8,36,1010.1,61,0,0
27.3,48,1009.6,61,0,0
26.1,60,1005.3,98,0,1
22.8,43,1007.9,52,1,0
23.3,41,1005.4,54,0,0
21.2,44,1016.5,24,0,0
23.4,48,1017.7,33,0,0
25.8,48,1017.8,31,0,0
28.2,45,1014.9,37,0,0
29,38,1015.7,24,0,0
29.2,37,1014.6,28,0,0
29.9,33,1014.2,48,0,0
32.4,27,1012.5,83,0,0
28.8,32,1011.7,56,0,0
27.2,51,1009.2,NA,0,0
25.5,53,1008.8,NA,0,0
26.5,48,1005.9,35,0,0
28.7,39,1008,37,0,0
29.6,36,1008.2,59,0,0
34.5,20,1007,52,0,0
18.7,66,1009.3,37,0,0
17.4,50,1011.6,41,0,0
16.7,45,1012.8,46,0,0
17,58,1017,46,0,1
18,41,1023.3,41,1,0
18.3,37,1022.5,39,0,0
19.2,50,1016.2,41,0,0
21.4,43,1017.7,35,0,0
18,46,1017.2,31,0,0
22.1,44,1012.4,31,0,0
21,53,1007.8,48,0,0
21.5,45,1010.1,41,0,0
19.3,63,1012.5,28,0,0
20.9,49,1015.6,31,0,0
20.7,48,1013,70,0,0
18.7,54,1014,46,0,0
15,49,1016.6,43,0,0
20.7,43,1017.8,26,0,0
20,53,1016.2,24,0,0
22.2,44,1007.5,44,0,0
17.3,53,1010.5,30,0,0
18,53,1014.1,35,0,0
23,58,1014.7,52,0,0
15.6,57,1014.5,57,0,0
13.9,60,1013.7,50,0,0
12.6,52,1014.5,30,0,0
13.3,58,1015.2,37,0,0
17.6,54,1017,24,0,0
18.6,49,1019.7,24,0,0
20.1,51,1019.5,50,0,1
21.5,57,1021.3,44,1,0
22.2,52,1019.5,37,0,1
19,82,1017.4,31,1,1
19.9,82,1012.7,69,1,1
12.7,62,1013.4,39,1,0
12.2,78,1013.3,39,0,0
12.1,78,1015.6,35,0,0
14.7,76,1017.4,52,0,0
14.7,56,1016.3,24,0,0
17.4,50,1016.5,22,0,0
18.8,47,1017,28,0,0
18.1,56,1014.8,37,0,0
18.8,63,1013.7,37,0,0
15.4,62,1016.5,48,0,0
18.3,69,1017.4,30,0,1
16.2,87,1019.1,33,1,0
16.5,63,1023,43,0,0
14,60,1023.8,24,0,0
16,60,1022.4,22,0,0
17.2,57,1023,22,0,0
17.1,61,1023.2,26,0,0
16.6,59,1022.6,22,0,0
18.4,59,1022.6,28,0,1
19,92,1018.8,98,1,1
13.9,60,1019.8,43,1,0
12.9,72,1020.4,31,0,0
13.8,58,1021.8,35,0,0
13.3,55,1026.7,28,0,0
13.8,60,1027.1,17,0,0
15.1,67,1024.2,22,0,0
16.4,59,1021.5,48,0,1
18,75,1024.4,46,1,1
15.4,88,1024.1,20,1,0
16.1,65,1023,19,0,0
16.2,68,1016.3,30,0,0
20.5,44,1008.2,63,0,0
9.6,65,1016.3,31,0,0
12.6,59,1018.5,26,0,0
12.4,73,1022.8,24,0,0
18,54,1022.7,31,0,0
14.1,58,1023.6,28,0,0
12.2,68,1025.2,17,0,0
11.2,73,1026,17,0,0
12.9,68,1021.3,33,0,0
14.9,74,1008.9,39,0,1
13.3,83,1004.8,70,1,1
9.5,77,1004,63,1,1
7.6,82,1013.8,26,1,1
10.1,83,1018,35,1,0
8.2,62,1023.1,19,0,0
7.9,70,1023.4,19,0,0
7.2,77,1026,19,0,0
10.1,81,1026.9,22,0,0
10.6,75,1028.7,15,0,0
9.6,86,1029.8,19,0,0
10.3,71,1031.4,15,0,0
10,82,1028.5,20,0,0
8.3,86,1026.2,20,0,0
11,68,1028.8,15,0,0
9.4,78,1026,17,0,0
11.7,69,1025.1,17,0,0
8.5,89,1025.6,15,0,0
9.1,81,1022.3,26,0,0
7.5,86,1018.4,28,0,0
10.3,77,1015.3,35,0,0
12.9,82,1015,54,0,1
13,82,1011.8,52,1,0
7,83,1022.5,20,0,0
8.8,82,1024.7,13,0,0
7.4,87,1023.6,19,0,0
12.4,75,1022.8,13,0,0
9.4,81,1025.2,20,0,0
10.1,75,1025.2,24,0,0
11.9,71,1022.2,30,0,0
12.5,69,1025,20,0,0
11.6,77,1024.6,31,0,1
13.6,97,1021.4,19,1,0
10.1,99,1021.7,20,0,0
7.1,91,1023.4,13,0,0
10.2,67,1025.6,33,0,0
9.6,65,1030.3,26,0,0
8,73,1034.1,44,0,1
9.2,88,1031.9,13,1,1
10.6,78,1029.3,13,1,1
12.4,85,1023.5,13,1,1
11.3,99,1021,13,1,0
7.6,86,1017.9,20,0,0
4.7,99,1015.2,11,0,1
10,93,1007.5,30,1,1
10.3,88,1009.6,33,1,1
6.8,92,1011.1,43,1,1
4.9,77,1017.6,37,1,0
2.2,84,1025.1,13,0,0
1.9,99,1025.7,15,0,0
5.9,86,1018.3,28,0,0
6.5,82,1011.8,24,0,0
5.4,99,1013.9,13,0,0
6.6,83,1022.3,17,0,0
5.6,94,1029.7,13,0,0
4.7,99,1031.6,11,0,0
5.4,93,1030.8,13,0,0
7,85,1025.7,28,0,1
8.3,99,1021.9,46,1,1
9.1,99,1020.7,19,1,0
8.3,99,1020.2,35,0,1
9.6,81,1014.9,41,1,0
6.9,99,1015.5,24,0,1
8.4,99,1011.6,46,1,0
10.3,79,1007.8,22,0,1
9.8,98,1007.5,22,1,1
10.1,91,1011.4,26,1,1
13.5,78,1007.6,72,1,1
9.5,85,1006.5,52,1,1
8.8,88,1009.4,54,1,1
7.8,82,1008.6,61,1,0
7.9,91,1016.3,39,0,0
7,80,1019.9,31,0,0
2.3,99,1022.4,19,0,0
2.4,91,1026,19,0,0
3.3,84,1030.4,17,0,0
3.8,84,1032,13,0,0
4.8,93,1028.7,13,0,0
8.1,96,1020.5,24,0,0
11.6,77,1010.4,33,0,0
9,82,1007.6,41,0,1
7.5,94,1006.6,30,1,1
5.9,99,1010.5,22,1,0
3.8,95,1015.6,24,0,0
4.5,88,1022.4,17,0,0
3.2,98,1023,20,0,0
7.8,94,1021.6,24,0,0
7.1,95,1023.1,39,0,0
6.6,87,1019.7,43,0,0
11.3,74,1009.5,44,0,1
8.5,83,1015.1,26,1,0
3.7,87,1027.3,22,0,0
2.5,95,1026.8,20,0,0
4.4,85,1018,13,0,0
4.2,99,1019.9,20,0,1
8.8,89,1024,31,1,1
9.3,98,1026,24,1,0
6.5,99,1025.8,22,0,1
11.6,81,1021.3,35,1,0
8.9,99,1026.8,30,0,0
10.5,94,1027.9,30,0,0
9.9,79,1023.1,37,0,0
5.7,91,1021.7,17,0,1
8.9,98,1022.2,19,1,0
8,99,1021.9,35,0,0
9.8,79,1012.8,57,0,1
4.4,78,1026.4,24,1,0
2,91,1021.6,15,0,0
5.9,72,1018.6,20,0,0
14.8,62,1009,43,0,1
9.1,99,1011.5,24,1,0
9.4,94,1015.7,22,0,1
9,99,1021.1,22,1,0
6.7,99,1021.2,24,0,1
11,79,1012.2,39,1,1
9.8,73,1018.2,37,1,0
6,85,1029.8,15,0,0
5.5,99,1027.7,17,0,0
11.1,78,1019.7,22,0,0
13.3,72,1004,59,0,1
5.8,90,1012,26,1,1
10.8,94,1011.5,26,1,1
13.2,68,1004.1,63,1,1
7.7,75,1009.6,85,1,1
6.9,83,1016.1,43,1,0
8.9,72,1018.5,30,0,0
7.2,87,1016.9,24,0,1
13,81,1002.6,59,1,1
6.7,77,1014.2,56,1,1
9.7,90,1018.9,39,1,1
9.7,96,1023.2,24,1,0
7,82,1024.9,24,0,0
10.2,80,1016.6,43,0,1
12.5,85,1014.4,35,1,0
8.6,81,1019.5,30,0,0
8.3,79,1018.4,37,0,0
13.9,73,1005,41,0,0
9.4,90,1009.9,46,0,0
9.5,82,1012.8,35,0,0
8.7,83,1022.2,31,NA,0
13.2,70,1020,39,0,0
17.3,44,1017,35,0,0
10.9,60,1022.6,24,0,0
8.1,68,1022.5,20,0,0
11.2,74,1022.2,17,0,0
12.9,76,1013.8,24,0,1
12.9,75,1021.2,46,1,0
10.2,98,1018.8,22,0,0
14.3,79,1014.6,33,0,0
11.5,73,1014.5,43,0,1
15.5,77,1002.6,50,1,1
13.1,82,997.8,56,1,1
12.6,72,1015.1,41,1,0
15.2,60,1009.3,44,0,1
7.9,79,1005.2,56,1,1
6.7,78,1009.8,61,1,0
9.2,79,1012.3,43,0,0
9.4,73,1015.6,19,0,0
11.3,75,1018,35,0,0
12.9,76,1012.4,28,0,0
16.1,68,1009.6,30,0,1
9.6,87,1014,31,1,1
12.6,85,1020.6,20,1,0
12.5,85,1020.7,35,0,0
8.8,85,1020.2,37,0,1
7.1,90,1018.7,35,1,0
7.8,65,1024,39,0,0
11.8,63,1027.7,33,0,0
11.2,55,1029.5,22,0,0
11.3,68,1022.6,48,0,0
11,88,1007.9,59,0,1
10.8,70,1001.9,50,1,1
10.3,88,1000.5,65,1,1
11.1,79,1008.5,50,1,1
8.8,77,1016,39,1,0
10.9,83,1022.7,28,0,0
12.1,72,1026.9,24,0,0
12.2,78,1026.6,19,0,0
13.4,71,1022.9,30,0,0
15.4,73,1018.9,20,0,0
15.6,67,1020.8,24,0,0
14.8,70,1019.6,35,0,0
14.7,68,1019.5,30,0,0
14.4,68,1014.7,63,0,0
14.7,52,1023.8,35,0,0
12.9,64,1027.5,26,0,0
17.9,67,1025.4,19,0,0
19.1,65,1023.4,31,0,0
19.1,75,1022.8,22,0,0
21.4,65,1022.3,20,0,0
23.1,66,1021.6,33,0,0
23.9,66,1018.8,20,0,0
24.2,46,1009.8,46,0,0
15,59,1017.1,39,0,0
14,67,1020.5,44,0,0
17.5,55,1025,28,0,0
19.2,57,1028.5,22,0,0
21,55,1029.1,28,0,0
22.1,48,1025.4,37,0,0
23.3,49,1021,33,0,0
24.5,43,1021.4,26,0,0
24.7,49,1018.9,43,0,0
23.2,42,1017.2,31,0,0
21.7,55,1015.6,46,0,0
23.9,57,1009.8,35,0,0
24.1,46,1007,54,0,0
19.5,38,1008,30,0,0
21,53,1010,24,0,0
27.8,29,1006.8,37,0,0
24.7,45,1007.6,78,0,1
19.7,95,1010.8,37,1,1
19.2,98,1003.7,61,1,0
14.4,63,1020.7,24,0,0
18.1,60,1024.6,30,0,0
22,60,1020.8,24,0,0
28.2,48,1012.2,78,0,1
17.6,82,1010.7,24,1,0
18.8,48,1006.5,52,0,1
13.5,94,1000.5,46,1,1
15.9,82,1010.3,50,1,0
16.6,43,1018.4,37,0,0
16.8,48,1022,39,0,0
20.3,57,1019.2,50,0,0
19.5,42,1015.9,44,0,0
17.6,44,1015.1,37,0,0
18.9,58,1015.9,28,0,0
21.2,47,1012.3,39,0,0
21,58,1006.9,54,0,1
15.7,64,1011.6,30,1,0
19.7,52,1008.9,52,0,0
12.8,62,1016.9,41,0,0
17,52,1019.2,39,0,0
19.5,52,1017.6,43,0,0
21.8,48,1018.7,28,0,0
22.1,51,1019.4,28,0,0
23.8,45,1017,39,0,0
24.2,40,1008.9,107,0,1
16,60,1015,41,1,0
19.1,45,1016.2,37,0,0
20.8,52,1018.1,31,0,0
21,48,1013.5,39,0,0
23.1,44,1010.9,39,0,0
27.2,41,1012.4,37,0,0
32.1,21,1006.5,63,0,1
20.9,84,1009.8,31,1,0
20,56,1014.7,33,0,0
22.1,61,1016.3,24,0,0
24.4,58,1015.2,33,0,0
25.6,46,1020,31,0,0
26,41,1022,33,0,0
28.1,41,1016.8,44,0,1
23.4,70,1012.2,39,1,1
20.6,88,1007.8,56,1,0
18,57,1014.4,30,0,0
21.3,55,1017.5,30,0,0
23.3,46,1014.9,46,0,0
24.3,49,1014.1,41,0,0
22.8,45,1014.9,28,0,0
24.6,50,1018,30,0,0
26.4,48,1017.2,41,0,0
27.8,38,1015.4,41,0,0
29.1,39,1013.8,30,0,0
